ID,Module,Sub Module,Title,Preconditions,Steps,Expected Result,Test Type,Priority,Automate Now,Status,Notes
PO-044,Create,Validation empty submit,Submit empty form,On create form,"1. Click Save/Submit with empty fields","Inline errors for vendor and items; no create API success",Negative,P0,Yes,Not Started,
PO-045,Create,Validation no line items,Vendor only no products,Vendor selected,"1. Select vendor 2. Submit without lines","Error: add at least one product",Negative,P0,Yes,Not Started,
PO-046,Create,Validation no vendor,Products without vendor,Product line added,"1. Add product without vendor 2. Submit","Error: vendor required",Negative,P0,Yes,Not Started,
PO-047,Create,Select vendor,Select existing vendor,Vendors exist,"1. Open vendor dropdown/search 2. Select vendor","Vendor displayed on form",Functional,P0,Yes,Not Started,
PO-048,Create,Vendor search,Search vendor in picker,Many vendors,"1. Type vendor name","Matching vendors listed",Functional,P1,Yes,Not Started,
PO-049,Create,Vendor inactive,Select inactive vendor if shown,Inactive vendor exists,"1. Try select inactive","Not listed or blocked with message",Negative,P2,Yes,Not Started,
PO-050,Create,Add product line,Add pre-seeded product,Products exist in inventory,"1. Search product 2. Select 3. Set qty","Line appears with name SKU cost qty",Functional,P0,Yes,Not Started,Use existing products until Product page ready
PO-051,Create,Product search by name,Search product by name,Known product name,"1. Type name in product search","Correct product in results",Functional,P0,Yes,Not Started,
PO-052,Create,Product search by SKU/UPC,Search by SKU or barcode,Known SKU,"1. Type SKU","Correct product found",Functional,P0,Yes,Not Started,
PO-053,Create,Product no match,Search unknown product,On create form,"1. Search nonexistent","No results message",Functional,P1,Yes,Not Started,
PO-054,Create,Unit cost editable,Edit unit cost on line,Product line added,"1. Change unit cost","Cost updates; line total recalculates",Functional,P1,Yes,Not Started,
PO-055,Create,Unit cost locked,Unit cost read-only if designed so,Product line added,"1. Try edit cost","Read-only per product rule",Functional,P2,Yes,Not Started,
PO-056,Create,Qty increase,Increase quantity,Product line qty=1,"1. Set qty to 5","Qty=5; line total = 5 * cost",Functional,P0,Yes,Not Started,
PO-057,Create,Qty zero,Quantity zero,Product line added,"1. Set qty 0 2. Save","Validation error",Negative,P0,Yes,Not Started,
PO-058,Create,Qty negative,Quantity negative,Product line added,"1. Set qty -1","Validation error; cannot save",Negative,P0,Yes,Not Started,
PO-059,Create,Qty decimal,Decimal qty if allowed,Product supports decimal,"1. Set qty 1.5","Accepted or rejected per UOM rule",Functional,P1,Yes,Not Started,
PO-060,Create,Qty large number,Very large quantity,Product line,"1. Enter 999999","Accepted within limits or max validation",Boundary,P2,Yes,Not Started,
PO-061,Create,Line total formula,Line total = qty * unit cost,Known qty and cost,"1. Set qty and cost 2. Read line total","normalizeMetric(lineTotal) equals qty*cost",Functional,P0,Yes,Not Started,
PO-062,Create,Multiple lines,Add multiple products,2+ products exist,"1. Add product A and B","Both lines listed; independent totals",Functional,P0,Yes,Not Started,
PO-063,Create,Remove line,Remove a product line,2 lines on form,"1. Delete one line","Line removed; grand total updates",Functional,P0,Yes,Not Started,
PO-064,Create,Duplicate SKU,Add same product twice,One product,"1. Add same SKU again","Either merge quantities or show duplicate error — assert actual rule",Functional,P1,Yes,Not Started,
PO-065,Create,Grand total formula,PO total equals sum of lines,Multiple lines,"1. Sum line totals 2. Compare PO total","Totals match after rounding to 2 decimals",Functional,P0,Yes,Not Started,
PO-066,Create,Tax if applicable,Tax added to total,Tax enabled for vendor/PO,"1. Observe tax field","Tax calculated; grand total = subtotal+tax",Functional,P1,Yes,Not Started,Skip if no tax on PO
PO-067,Create,Discount on PO,PO level discount,Discount field exists,"1. Enter discount 2. Check total","Total reduced correctly",Functional,P2,Yes,Not Started,
PO-068,Create,Expected delivery date,Set expected date,On create form,"1. Set future expected date","Date saved and shown on detail",Functional,P1,Yes,Not Started,
PO-069,Create,Past expected date,Set past expected date,On create form,"1. Set yesterday","Allowed with warning OR blocked",Negative,P2,Yes,Not Started,
PO-070,Create,Notes/comments,Add PO notes,On create form,"1. Enter notes 2. Save","Notes visible on detail",Functional,P1,Yes,Not Started,
PO-071,Create,Attachment upload,Upload invoice/file if supported,Create form has upload,"1. Upload valid PDF/JPG","File attached; visible on detail",Functional,P2,Yes,Not Started,
PO-072,Create,Attachment invalid type,Upload invalid file type,Upload supported,"1. Upload .exe or unsupported","Error; file not attached",Negative,P2,Yes,Not Started,
PO-073,Create,Save Draft,Save PO as Draft,Valid vendor+line,"1. Save as Draft","Success toast; list shows Draft; create API 200",Functional,P0,Yes,Not Started,
PO-074,Create,Save Draft API body,Draft create API payload correct,During Draft save,"1. Capture create API request/response","Vendor id products qty cost status Draft match UI",API,P0,Yes,Not Started,
PO-075,Create,Submit/Order PO,Create and mark Ordered,Valid form,"1. Submit/Place Order","Status Ordered; appears in Ordered filter",Functional,P0,Yes,Not Started,
PO-076,Create,Submit API,Order create/submit API success,During submit,"1. Capture submit API","200; status Ordered in response",API,P0,Yes,Not Started,
PO-077,Create,UI after create,Redirect after create,After save,"1. Observe navigation","Lands on detail or list with new PO highlighted",Functional,P1,Yes,Not Started,
PO-078,Create,Idempotent double click,Double click Save,Valid form,"1. Double-click Save quickly","Only one PO created",Negative,P1,Yes,Not Started,
PO-079,Create,Outlet selection,Select outlet on multi-store,Multi-store merchant,"1. Select outlet A 2. Save Draft","PO associated with outlet A",Functional,P0,Yes,Not Started,
PO-080,Create,All locations not for PO line,Cannot assign invalid outlet,Multi-store,"1. Try invalid outlet combo","Validation or outlet required",Negative,P1,Yes,Not Started,
PO-081,Detail,Open from list,Open PO detail from row click,PO exists,"1. Click PO row / View","Detail page/drawer opens",Functional,P0,Yes,Not Started,
PO-082,Detail,Header fields,Detail header shows PO meta,On detail,"1. Read PO# status vendor dates total","All match list/API",UI,P0,Yes,Not Started,
PO-083,Detail,Line items table,Detail shows all lines,PO with 2+ lines,"1. View lines table","All products qty cost line totals shown",UI,P0,Yes,Not Started,
PO-084,Detail,List vs detail parity,List row matches detail,Known PO,"1. Note list values 2. Open detail","PO# status vendor total identical",Functional,P0,Yes,Not Started,
PO-085,Detail,Detail API parity,Detail UI matches detail API,On detail,"1. Capture detail API 2. Compare fields","UI equals API after normalizeMetric",API,P0,Yes,Not Started,
PO-086,Detail,Received qty columns,Show ordered vs received qty,Partial PO,"1. Open Partial Received PO","Ordered and received columns correct",UI,P0,Yes,Not Started,
PO-087,Detail,Audit/history,Activity history if present,Detail has history,"1. Open history/timeline","Events for create submit receive shown",Functional,P2,Yes,Not Started,
PO-088,Detail,Print PO,Print/PDF PO,On detail,"1. Click Print/Download","PDF/print preview opens with correct data",Functional,P2,Yes,Not Started,
PO-089,Detail,Email PO,Email PO to vendor if supported,Email action exists,"1. Click Email 2. Send","Success message; no crash",Functional,P2,Yes,Not Started,
PO-090,Edit,Edit Draft open,Open Draft in edit mode,Draft PO exists,"1. Click Edit","Form editable with existing values",Functional,P0,Yes,Not Started,
PO-091,Edit,Update qty in Draft,Change line qty and save,Draft PO,"1. Change qty 2. Save","Detail and list show new qty/total",Functional,P0,Yes,Not Started,
PO-092,Edit,Add line to Draft,Add new product to Draft,Draft PO,"1. Add product 2. Save","New line on detail; total updated",Functional,P0,Yes,Not Started,
PO-093,Edit,Remove line from Draft,Remove product from Draft,Draft with 2 lines,"1. Remove one 2. Save","Line gone; total updated",Functional,P0,Yes,Not Started,
PO-094,Edit,Change vendor Draft,Change vendor on Draft,Draft PO,"1. Change vendor 2. Save","New vendor on detail/list",Functional,P1,Yes,Not Started,
PO-095,Edit,Edit API,Update API called on save,During Draft edit save,"1. Capture update API","200; payload reflects changes",API,P0,Yes,Not Started,
PO-096,Edit,Ordered locked,Cannot edit Ordered PO fields,Ordered PO,"1. Open Ordered 2. Try edit qty","Edit disabled or save blocked",Functional,P1,Yes,Not Started,
PO-097,Edit,Received locked,Cannot edit Received PO,Received PO,"1. Try Edit","Not allowed",Functional,P1,Yes,Not Started,
PO-098,Status,Draft to Ordered,Transition Draft to Ordered,Draft PO,"1. Submit/Order","Status Ordered; action available to Receive",Functional,P0,Yes,Not Started,
PO-099,Status,Invalid transition,Ordered back to Draft if blocked,Ordered PO,"1. Try revert to Draft","Blocked with message",Negative,P1,Yes,Not Started,
PO-100,Cancel,Cancel Draft,Cancel Draft PO,Draft PO,"1. Cancel PO 2. Confirm","Status Cancelled; not in active filters",Functional,P0,Yes,Not Started,
PO-101,Cancel,Cancel Ordered,Cancel Ordered PO,Ordered PO not received,"1. Cancel","Status Cancelled; Receive disabled",Functional,P0,Yes,Not Started,
PO-102,Cancel,Cancel confirm dialog,Cancel shows confirm,Cancel action,"1. Click Cancel","Confirm dialog; dismiss keeps status",UI,P1,Yes,Not Started,
PO-103,Cancel,Cancel after partial,Cancel partially received PO,Partial PO,"1. Try Cancel","Allowed or blocked per business rule",Functional,P1,Yes,Not Started,
PO-104,Cancel,Cancelled not receivable,Receive on Cancelled,Cancelled PO,"1. Open Receive","Disabled or error",Negative,P0,Yes,Not Started,
PO-105,Delete,Delete Draft,Delete Draft PO,Draft PO,"1. Delete 2. Confirm","Removed from list; delete API 200",Functional,P1,Yes,Not Started,
PO-106,Delete,Delete Ordered blocked,Delete Ordered not allowed,Ordered PO,"1. Try Delete","Blocked",Negative,P1,Yes,Not Started,
PO-107,Delete,Delete confirm,Delete confirmation required,Draft PO,"1. Delete","Confirm required; cancel keeps PO",UI,P1,Yes,Not Started,
PO-108,Receive,Open receive screen,Open Receive from Ordered,Ordered PO,"1. Click Receive","Receive form shows lines with remaining qty",Functional,P0,Yes,Not Started,
PO-109,Receive,Full receive,Receive all ordered qty,Ordered PO,"1. Receive full qty for all lines 2. Confirm","Status Received/Closed; remaining 0",Functional,P0,Yes,Not Started,
PO-110,Receive,Full receive API,Receive API success full,During full receive,"1. Capture receive API","200; received qtys match",API,P0,Yes,Not Started,
PO-111,Receive,Partial receive one line,Receive less than ordered,Ordered PO qty 10,"1. Receive 4 2. Confirm","Received 4 remaining 6; status Partial if supported",Functional,P0,Yes,Not Started,
PO-112,Receive,Partial then complete,Second receive completes PO,Partial PO remaining 6,"1. Receive 6","Status Received; remaining 0",Functional,P0,Yes,Not Started,
PO-113,Receive,Multi line partial,Different qtys per line,PO with 2 lines,"1. Full receive line1 partial line2","Each line remaining correct",Functional,P0,Yes,Not Started,
PO-114,Receive,Over receive,Receive more than ordered,Ordered qty 5,"1. Enter receive 6","Validation error OR allowed with warning — assert rule",Negative,P1,Yes,Not Started,
PO-115,Receive,Receive zero,Receive qty 0,On receive form,"1. Set 0 2. Submit","Error or no-op with message",Negative,P1,Yes,Not Started,
PO-116,Receive,Receive negative,Receive negative qty,On receive form,"1. Enter -1","Validation error",Negative,P0,Yes,Not Started,
PO-117,Receive,Receive date,Set receive date,On receive,"1. Set receive date 2. Confirm","Date stored on history/detail",Functional,P1,Yes,Not Started,
PO-118,Receive,Receive notes,Add receive notes,On receive,"1. Enter notes 2. Confirm","Notes visible in history",Functional,P2,Yes,Not Started,
PO-119,Receive,Stock increase API,Stock increases after receive,Known SKU stock before,"1. Note stock via API 2. Receive qty N 3. Fetch stock again","stock_after = stock_before + N for that outlet",API,P0,Yes,Not Started,Primary stock check without Product page
PO-120,Receive,Cost update if rule,Average/last cost update,Receive with cost,"1. Receive 2. Check product cost API","Cost updated per costing method",API,P1,Yes,Not Started,
PO-121,Receive,Draft cannot receive,Receive action on Draft,Draft PO,"1. Look for Receive","Not available",Negative,P0,Yes,Not Started,
PO-122,Receive,Already fully received,Receive again on Received,Received PO,"1. Try Receive","Disabled or error",Negative,P0,Yes,Not Started,
PO-123,Receive,Cancel receive form,Cancel mid-receive,On receive form,"1. Enter qtys 2. Cancel","No stock change; PO unchanged",Functional,P1,Yes,Not Started,
PO-124,Receive,Double submit receive,Double click confirm receive,On receive confirm,"1. Double-click Confirm","Stock increased once only",Negative,P1,Yes,Not Started,
PO-125,Multi-store,Create for store A,PO for outlet A only,Multi-store + products,"1. Select outlet A 2. Create Ordered PO","PO outlet = A",Functional,P0,Yes,Not Started,
PO-126,Multi-store,Create for store B,PO for outlet B,Multi-store,"1. Select B 2. Create","PO outlet = B",Functional,P0,Yes,Not Started,
PO-127,Multi-store,List filter store A,Filter list by A,POs in A and B,"1. Filter outlet A","Only A POs",Functional,P0,Yes,Not Started,
PO-128,Multi-store,Receive stock only A,Receive A does not change B,Stock known for A and B,"1. Receive on PO for A 2. Check stock APIs","A increases; B unchanged",API,P0,Yes,Not Started,
PO-129,Multi-store,Wrong outlet receive,Cannot receive into other outlet,PO for A,"1. Try receive as/for B if UI allows","Blocked",Negative,P1,Yes,Not Started,
PO-130,Multi-store,Switch header store,Header store switch vs PO outlet,Multi-store session,"1. Switch header store 2. Open PO list","List respects selected store or shows all per design",Functional,P1,Yes,Not Started,
PO-131,Permissions,Merchant full access,Merchant can CRUD PO,Merchant login,"1. Create edit receive","All actions available",Functional,P0,Yes,Not Started,
PO-132,Permissions,Employee no PO access,Restricted employee,Role without PO,"1. Login 2. Check nav","PO nav hidden or page forbidden",Security,P0,Yes,Not Started,
PO-133,Permissions,Employee view only,View-only role,View permission only,"1. Open PO 2. Try create","Create/Receive hidden or disabled",Security,P1,Yes,Not Started,
PO-134,Permissions,Employee create no receive,Create without receive permission,Custom role,"1. Create PO 2. Try receive","Receive blocked",Security,P1,Yes,Not Started,
PO-135,Permissions,Direct URL forbidden,Open PO URL as unauthorized,Restricted user,"1. Navigate to PO URL","403/redirect/unauthorized message",Security,P0,Yes,Not Started,
PO-136,Negative,Network fail create,Create when API fails,Route abort create,"1. Abort create API 2. Save","Error toast; no orphan PO in list",Negative,P1,Yes,Not Started,
PO-137,Negative,Network fail receive,Receive when API fails,Route abort receive,"1. Abort receive 2. Confirm","Error; stock unchanged",Negative,P1,Yes,Not Started,
PO-138,Negative,Session expiry,Session expires mid-create,Expired session,"1. Wait/expire token 2. Save","Redirect login or session message",Security,P2,Yes,Not Started,
PO-139,Negative,XSS in notes,Script in notes field,Create form,"1. Enter script tag in notes 2. Save","Stored escaped; no script execution",Security,P1,Yes,Not Started,
PO-140,Negative,SQL-like search,Search injection string,Search box,"1. Search OR 1=1","Safe handling; no data leak",Security,P2,Yes,Not Started,
PO-141,Usability,Mandatory markers,Asterisk on required fields,Create form,"1. Inspect labels","Required fields indicated",UI,P2,Yes,Not Started,
PO-142,Usability,Toast messages,Success toasts text,Create/Receive/Cancel,"1. Perform actions","Clear success/error messages",UI,P1,Yes,Not Started,
PO-143,Usability,Responsive layout,PO page on mobile width,Viewport 375px,"1. Open list and create","Usable layout; no overlap",UI,P2,Yes,Not Started,
PO-144,Usability,Keyboard submit,Enter key submits search,Search focused,"1. Type and press Enter","Search executes",UI,P2,Yes,Not Started,
PO-145,Reporting,PO in inventory reports,Received qty impacts inventory report,After receive,"1. Open inventory/stock report if available","Received items reflected",Integration,P2,Yes,Not Started,
PO-146,Reporting,Vendor purchase history,Vendor shows PO history,Vendor module,"1. Open vendor detail","PO history lists this PO if feature exists",Integration,P2,Yes,Not Started,
PO-147,Integration,Vendor from Vendors module,Use vendor created in Vendors tests,Vendor exists,"1. Select that vendor on PO","Vendor selectable and saved",Integration,P1,Yes,Not Started,
PO-148,Integration,Dashboard nav PO link,Dashboard nav Purchase Order works,On Dashboard,"1. Click Purchase Order link","PO page opens",Integration,P1,Yes,Not Started,
PO-149,Performance,Large line count,PO with many lines,50+ products,"1. Add many lines 2. Save","Saves within timeout; totals correct",Performance,P2,Yes,Not Started,
PO-150,Performance,Large list load,List with hundreds of POs,Heavy data merchant,"1. Open PO list","Loads within acceptable time",Performance,P2,Yes,Not Started,
PO-151,Regression,Create receive cancel smoke,End-to-end smoke,Seeded vendor+product,"1. Create Ordered 2. Receive full 3. Verify stock API","Full path green",Regression,P0,Yes,Not Started,
PO-152,Regression,Filter after create,New PO appears under filters,After create Ordered,"1. Filter Ordered 2. Search PO#","New PO visible",Regression,P0,Yes,Not Started,
PO-153,Data,Currency format,Totals show currency format,PO with amount,"1. View list and detail","Currency format consistent",UI,P1,Yes,Not Started,
PO-154,Data,Rounding,Rounding to 2 decimals,qty*cost produces long decimal,"1. Set values that need rounding","UI and API agree on 2 decimal money",Functional,P0,Yes,Not Started,Same normalizeMetric approach as Dashboard
PO-155,Data,Timezone dates,Dates show store timezone,Create with today,"1. Check order date","Matches store local date not UTC drift",Functional,P1,Yes,Not Started,
PO-156,Concurrent,Two tabs edit Draft,Edit same Draft in two tabs,Draft PO,"1. Tab1 and Tab2 edit save","Last write wins or conflict message",Negative,P2,Yes,Not Started,
PO-157,Reorder,Reorder from previous PO,Create from existing PO if feature,Past Received PO,"1. Click Reorder/Duplicate","New Draft prefilled with lines",Functional,P1,Yes,Not Started,
PO-158,Reorder,Reorder then edit,Edit duplicated PO,After reorder,"1. Change qty 2. Save","Independent of original PO",Functional,P1,Yes,Not Started,
PO-159,Auto PO,Auto restock entry point,Open auto PO / suggestions if UI,Feature enabled,"1. Open Auto PO/Suggestions","Suggested products listed",Functional,P2,No,Blocked,May need Product low-stock setup
PO-160,Auto PO,Create from suggestion,Create PO from suggestion,Suggestions available,"1. Select items 2. Create PO","Draft/Ordered created with suggested qtys",Functional,P2,No,Blocked,
PO-200,Deferred Product,Create product then PO,Full product create then PO,Product page ready,"1. Create product 2. Add to PO","Product available in PO search",Functional,P1,No,Blocked,Wait for Product page automation
PO-201,Deferred Product,Receive reflects Product UI,Stock on Product detail after receive,Product page ready,"1. Receive PO 2. Open Product page","On-hand matches",Functional,P0,No,Blocked,
PO-202,Deferred Product,Variant on PO,Add variant SKU to PO,Variants exist,"1. Select variant 2. Save","Correct variant id on PO line/API",Functional,P1,No,Blocked,
PO-203,Deferred Product,Low stock threshold auto PO,Reorder level triggers auto PO,Product reorder settings,"1. Drop stock below level 2. Run auto job/UI","PO drafted automatically",Functional,P2,No,Blocked,
PO-204,Deferred Product,Track qty off,Product not tracking qty on receive,Track quantity disabled,"1. Receive PO for that product","Behavior per rule; no hard stock fail",Functional,P2,No,Blocked,
PO-205,Deferred Product,Continue selling OOS,OOS product still on PO,Continue selling when OOS on,"1. Add OOS product to PO","Allowed",Functional,P2,No,Blocked,
PO-206,Deferred Product,Product delete with open PO,Delete product used on open PO,Product on Draft PO,"1. Try delete product","Blocked or PO line orphan handled",Negative,P1,No,Blocked,
PO-207,Deferred Product,Price list from vendor,Vendor-specific cost on PO,Vendor catalog,"1. Select vendor product","Default cost from vendor catalog",Functional,P2,No,Blocked,
